ICD_CATEGORY,mean,count
Other osteomyelitis,30.58,1413
Infection following immunization,27.89,1407
Unspecified fracture of left femur,19.48,3361
"Unspecified complication of internal orthopedic prosthetic device, implant and graft",18.37,3830
Fracture of unspecified parts of lumbosacral spine and pelvis,17.51,816
"Cervical disc disorder with myelopathy, mid-cervical region",16.82,240
Infantile idiopathic scoliosis,16.52,678
"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified",13.36,1417
Spondylolysis,10.47,212
Unspecified fracture of left lower leg,9.64,2312
"Fracture of left shoulder girdle, part unspecified",8.78,1494
"Complete transverse atypical femoral fracture, right leg",8.57,2068
"Thoracic, thoracolumbar and lumbosacral intervertebral disc disorders with radiculopathy",8.23,717
"Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts",8.07,232
Unilateral primary osteoarthritis of hip,6.97,4458
"Osteonecrosis due to drugs, ankle, foot and toes",6.89,561
"Congenital dislocation of hip, unilateral",6.44,429
Unilateral primary osteoarthritis of knee,6.26,6822
Concussion and edema of cervical spinal cord,5.78,600
Malignant neoplasm of scapula and long bones of upper limb,5.52,675
Unspecified fracture of facial bones,4.92,723
Unspecified fracture of left forearm,4.79,1713
Unspecified fracture of unspecified toe(s),4.67,538
"Osteophyte, ankle and foot",4.53,402
Other injury of unspecified body region,3.75,387
Unspecified slipped upper femoral epiphysis (nontraumatic),3.66,318
Cerebral palsy,3.64,654
Sprain of unspecified site of left knee,3.55,534
"Laceration of other muscle(s) and tendon(s) at lower leg level, unspecified leg",3.52,230
Benign neoplasm of scapula and long bones of upper limb,3.51,2554
"Unequal limb length (acquired), ulna and radius",3.24,2166
"Osteoarthritis, unspecified site",3.19,1064
Unspecified fracture of left wrist and hand,2.93,717
Other congenital deformities of feet,2.91,1634
"Localized swelling, mass and lump, upper limb",2.89,321
Cauliflower ear,2.85,281
"Cystic meniscus, unspecified meniscus",2.83,892
Birth injury to peripheral nervous system,2.8,353
"Recurrent dislocation, ankle, foot and toes",2.78,2457
Polydactyly,2.63,209
Sprain of unspecified parts of left shoulder girdle,2.58,491
Sprain of unspecified part of left wrist and hand,2.57,200
"Other injury of unspecified muscle, fascia and tendon at wrist and hand level, unspecified hand",2.56,647
Adhesive capsulitis of shoulder,2.38,2356
Unspecified deformity of finger(s),2.32,1348
"Other specified disorders of synovium and tendon, hand",2.18,276
Cleft palate with cleft lip,2.06,386
Fibroblastic disorders,1.95,568
"Benign neoplasm of connective and other soft tissue of upper limb, including shoulder",1.93,748
"Abscess of tendon sheath, shoulder",1.14,1404
Carpal tunnel syndrome,1.11,2156
Other mononeuropathies,0.88,2365
Egg (Oocyte) donor,0.29,457
