REASON.FOR.DISCHARGE,mean,count
MEDICAL DECISION,7.45,77313
HOSPITALIZATION CANCELED,0.22,554
DEATH,55.01,503
"ORGAN, TISSUE AND CELL DONATION PROCESS - DEAD DONOR",0.29,445
TRANSFER,35.15,276
PATIENT DECISION,15.46,198
BY REQUEST,8.44,120
SPEECH THERAPISTS DECISION,3.67,6
COMPLIANCE WITH THE OBJECTIVES OF THE HOME CARE PLAN,4.5,4
REOPERATION,1.33,3
NON-COMPLIANCE WITH ADMISSION CRITERIA,0.0,1
PERMANENCE DUE TO DISEASE CHARACTERISTICS,2.0,1
PERMANENCE DUE TO INTERCORRENCE,1.0,1
PHYSIOTHERAPY DECISION,2.0,1
