SERVICE,count,mean,std,median,max
ELDERLY TRAUMA,3214,19.71,31.04,10.0,514.0
INTERNAL MEDICINE,470,18.97,50.65,7.0,847.0
SPINE,3570,17.22,31.15,8.0,588.0
HIP,8692,14.54,29.4,6.0,1215.0
ADULT TRAUMA,7585,14.02,23.63,7.0,696.0
TRAUMA,53,13.53,16.36,9.0,87.0
LIMB LENGTHENING,2780,7.26,15.21,2.0,174.0
KNEE,12360,7.2,13.97,4.0,589.0
MICROSURGERY,1919,7.05,13.56,3.0,232.0
ONCOLOGY,3791,5.07,10.93,2.0,202.0
PAIN CLINIC,3,4.67,4.04,4.0,9.0
PEDIATRIC,4476,4.27,9.3,2.0,329.0
THORACIC DEFORMITY,9,4.11,3.76,3.0,14.0
FEET,8499,3.8,8.25,2.0,321.0
SKULL-MAXILLO-FACIAL,3052,3.77,7.4,2.0,208.0
SHOULDER,5766,3.72,6.96,2.0,142.0
SPORT TRAUMA,195,2.29,1.69,2.0,21.0
GENERAL PRACTICE,1,2.0,,2.0,2.0
INACTIVE - SPORTS MEDICINE,1,2.0,,2.0,2.0
HAND,12531,1.85,4.07,1.0,151.0
GENERAL SURGERY,2,1.0,1.41,1.0,2.0
TISSUE BANK,457,0.28,2.04,0.0,28.0
